# mN [MeV]	|U_muN|^2 (15MeV)	|U_muN|^2 (10MeV)	|U_eN|^2 (15MeV)	|U_eN|^2 (10MeV)
10	0.00002264796775989021	0.000022649953332855376	0.00001584936592716019	0.00001584999295020182
10.65	0.000019051886112293172	0.000019060141915674654	0.000013285886725289994	0.00001329058939810223
11.3	0.000016231431967194325	0.000016250556169964086	0.000011264364439069974	0.000011279726503589946
11.95	0.000013976239094126296	0.000014010934369096573	9.65295702361308e-6	9.684015564941892e-6
12.6	0.000012148153416249602	0.000012200614344066106	8.34687847827865e-6	8.396852214696682e-6
13.25	0.000010640163001125796	0.000010711330116350974	7.268315243600219e-6	7.336106884784613e-6
13.9	9.378801649043724e-6	9.467661264426936e-6	6.376333165343275e-6	6.464147742323769e-6
14.55	8.320867472434971e-6	8.425632572307569e-6	5.624062271145859e-6	5.728848271786513e-6
15.2	7.417870689413364e-6	7.535782372392171e-6	4.988731174212722e-6	5.106778712183883e-6
15.85	6.645357401355278e-6	6.773217849927972e-6	4.443200227225246e-6	4.572314721881203e-6
16.5	5.9827299013431155e-6	6.117226343773077e-6	3.977374359213163e-6	4.114985016083226e-6
17.15	5.408585802889187e-6	5.546614475120339e-6	3.5754943910634673e-6	3.7191871714373575e-6
17.8	4.917114692474375e-6	5.056940830758204e-6	3.22576183920946e-6	3.3731018036088403e-6
18.45	4.490676321860779e-6	4.630502460144607e-6	2.925125191515201e-6	3.074377576191557e-6
19.1	4.118130581675412e-6	4.256786276948195e-6	2.6628937051208728e-6	2.8125745555423434e-6
19.75	3.7926429207644898e-6	3.9287173711825565e-6	2.4337794857087153e-6	2.5829900688489625e-6
20.4	3.508434276760977e-6	3.642544054981931e-6	2.2321602266721007e-6	2.380409374481846e-6
21.05	3.2551483190939245e-6	3.3861961347949117e-6	2.05225686564399e-6	2.1977680128386117e-6
21.7	3.0322938797140552e-6	3.1607709009443534e-6	1.8942470591528474e-6	2.0389221756252934e-6
22.35	2.8347189192959633e-6	2.960875955272225e-6	1.7532922793940817e-6	1.8958773190610892e-6
23	2.656863833537183e-6	2.780920342323979e-6	1.6267172280567322e-6	1.7672435420703831e-6
23.65	2.5003693327299827e-6	2.622691077768265e-6	1.5140516378595754e-6	1.6529581423490113e-6
24.3	2.35888158338583e-6	2.479708923508224e-6	1.4122857982027799e-6	1.54935303510343e-6
24.95	2.234668318838626e-6	2.354450620558301e-6	1.3195699911135326e-6	1.4541082350796021e-6
25.6	2.1209681406227777e-6	2.2400502666126303e-6	1.2364162854091659e-6	1.3696900329079452e-6
26.25	2.0203622935930002e-6	2.1397370303356142e-6	1.1602225354669092e-6	1.2916779161449572e-6
26.9	1.9296320594689196e-6	2.050072735382307e-6	1.0917098177846386e-6	1.2216916943148523e-6
27.55	1.8495298659004926e-6	1.9721964736116723e-6	1.027888277492174e-6	1.1564812979851744e-6
28.2	1.778331399523234e-6	1.9037882597696736e-6	9.69682773575923e-7	1.0972903228551589e-6
28.85	1.71619341609755e-6	1.84715762872632e-6	9.169553609667258e-7	1.0437070237941347e-6
29.5	1.6617887168519888e-6	1.7999950456116027e-6	8.681228064844631e-7	9.94149212660385e-7
30.15	1.6171342259037974e-6	1.7672644428384374e-6	8.233011093918366e-7	9.489962383940964e-7
30.8	1.5804951795044623e-6	1.748464201973519e-6	7.814828526686253e-7	9.067965426538925e-7
31.45	1.5537212956267964e-6	1.7428836969029985e-6	7.432814738572248e-7	8.688313425215067e-7
32.1	1.539717781030359e-6	1.754170111652366e-6	7.072527298850778e-7	8.332592803313479e-7
32.75	1.5432395604475227e-6	1.7869216151935855e-6	6.744562896925411e-7	8.011222593709271e-7
33.4	1.5745071094568813e-6	1.8536473172072064e-6	6.434959819735822e-7	7.710230632958087e-7
34.05	1.6265604722963245e-6	1.944461154403505e-6	6.149685236561535e-7	7.43801902981779e-7
34.7	1.573681529118733e-6	1.8973612735929504e-6	5.885750337570773e-7	7.186102072458301e-7
35.35	1.5236241896284835e-6	1.8550163175147686e-6	5.633133204481462e-7	6.947927370094568e-7
36	1.4769841257151257e-6	1.8172381792564693e-6	5.405743298433791e-7	6.734530528259306e-7
36.65	1.4339912458272575e-6	1.7823965989098112e-6	5.187978196075165e-7	6.535617918685735e-7
37.3	1.3931197938969098e-6	1.7506692330032565e-6	4.981677164994367e-7	6.34453264674853e-7
37.95	1.3564180451934117e-6	1.7260063266990833e-6	4.793706107497265e-7	6.174985616291366e-7
38.6	1.3224647474890647e-6	1.7043008790746056e-6	4.619320549235512e-7	6.015972572933613e-7
39.25	1.291019541951244e-6	1.6859500047228566e-6	4.4541104281496336e-7	5.8705032272751e-7
39.9	1.2601073059988102e-6	1.6665645423524154e-6	4.2979085380951956e-7	5.73135636395304e-7
40.55	1.2333856740412802e-6	1.6561873110134138e-6	4.151321001345773e-7	5.59562677620787e-7
41.2	1.2091198823301403e-6	1.6463430492597988e-6	4.018496620360163e-7	5.482365514121162e-7
41.85	1.1858886786376927e-6	1.6373975205325225e-6	3.8920887751672486e-7	5.364265724229867e-7
42.5	1.1650401625034447e-6	1.6329352065529116e-6	3.7748981686863175e-7	5.263774831424389e-7
43.15	1.1473894638815174e-6	1.6330919623133193e-6	3.6625878915460855e-7	5.162698717113387e-7
43.8	1.1304180402213575e-6	1.6326007942640415e-6	3.562295556037124e-7	5.073525590209358e-7
44.45	1.1155680445187178e-6	1.6357672606242808e-6	3.46294375509061e-7	4.981029241184681e-7
45.1	1.103445599047175e-6	1.6405953380448432e-6	3.3758502546079916e-7	4.906591155758993e-7
45.75	1.0902676647888858e-6	1.64444107936685e-6	3.292957808504305e-7	4.829874886615377e-7
46.4	1.082429876768492e-6	1.653585165390643e-6	3.213127324920585e-7	4.758268855261057e-7
47.05	1.0735261495773244e-6	1.6595314339021152e-6	3.1382607737497816e-7	4.6982522997928933e-7
47.7	1.0681337514192933e-6	1.6717270320618483e-6	3.071524621352134e-7	4.6442760662924466e-7
48.35	1.062783154797371e-6	1.6798887819870853e-6	3.005039278171138e-7	4.5895160539899605e-7
49	1.0603482153190353e-6	1.6918753724662746e-6	2.941898057878844e-7	4.5447361584334433e-7
49.65	1.0595957876690773e-6	1.703558901808675e-6	2.88724254941663e-7	4.507762699745238e-7
50.3	1.0599406503419748e-6	1.7174997141009493e-6	2.8323257813537366e-7	4.4801632355294233e-7
50.95	1.0615395590981353e-6	1.729141441907241e-6	2.779321433567818e-7	4.4577889633272055e-7
51.6	1.0642044070250693e-6	1.7431658572717326e-6	2.731552728179524e-7	4.447944701573591e-7
52.25	1.0696804082553175e-6	1.7630842892275605e-6	2.686365267645946e-7	4.4511947710060476e-7
52.9	1.0758252340633066e-6	1.7764189792462576e-6	2.642337799739386e-7	4.461174887752016e-7
53.55	1.0858785034974653e-6	1.8022732293295306e-6	2.6025845388999475e-7	4.4845314960527895e-7
54.2	1.0935072838373154e-6	1.818628080332086e-6	2.565004957938165e-7	4.528663467799622e-7
54.85	1.1047727978186284e-6	1.8361324735776327e-6	2.530006621831099e-7	4.570694912356988e-7
55.5	1.1162682202485395e-6	1.8539817294960766e-6	2.4950918887962506e-7	4.628360131419033e-7
56.15	1.1285474214804903e-6	1.87473619217408e-6	2.4666145923221526e-7	4.6983568036331655e-7
56.8	1.143386966799103e-6	1.900705396481652e-6	2.434720020271163e-7	4.762689367704559e-7
57.45	1.1580697563573075e-6	1.9254414554740157e-6	2.408447754826802e-7	4.832497933006201e-7
58.1	1.1709341790947807e-6	1.947627620763744e-6	2.3858226734079315e-7	4.920417013826968e-7
