# mN [MeV]	|U_muN|^2 (3)	|U_muN|^2 (50)	|U_eN|^2 (3)	|U_eN|^2 (50)
10	4.46824e-06	1.82415e-05	2.79335e-06	1.14038e-05
10.26	4.13796e-06	1.68932e-05	2.5894e-06	1.05712e-05
10.52	3.83949e-06	1.56747e-05	2.40502e-06	9.81844e-06
10.78	3.56908e-06	1.45707e-05	2.23791e-06	9.13623e-06
11.04	3.32351e-06	1.35682e-05	2.0861e-06	8.51645e-06
11.3	3.09999e-06	1.26556e-05	1.94786e-06	7.95209e-06
11.56	2.89609e-06	1.18232e-05	1.8217e-06	7.43708e-06
11.82	2.70971e-06	1.10623e-05	1.70634e-06	6.96611e-06
12.08	2.539e-06	1.03654e-05	1.60064e-06	6.53458e-06
12.34	2.38235e-06	9.72591e-06	1.5036e-06	6.13841e-06
12.6	2.23834e-06	9.13799e-06	1.41435e-06	5.77405e-06
12.86	2.10572e-06	8.59656e-06	1.33212e-06	5.43835e-06
13.12	1.98338e-06	8.09711e-06	1.25623e-06	5.12854e-06
13.38	1.87034e-06	7.63565e-06	1.18608e-06	4.84216e-06
13.64	1.76575e-06	7.20862e-06	1.12114e-06	4.57703e-06
13.9	1.66881e-06	6.81288e-06	1.06092e-06	4.3312e-06
14.16	1.57884e-06	6.44559e-06	1.00501e-06	4.10294e-06
14.42	1.49523e-06	6.10426e-06	9.53023e-07	3.8907e-06
14.68	1.41742e-06	5.78661e-06	9.0462e-07	3.69309e-06
14.94	1.34492e-06	5.49063e-06	8.59495e-07	3.50887e-06
15.2	1.27729e-06	5.2145e-06	8.17375e-07	3.33692e-06
15.46	1.21411e-06	4.95659e-06	7.78011e-07	3.17622e-06
15.72	1.15503e-06	4.7154e-06	7.41182e-07	3.02586e-06
15.98	1.09973e-06	4.48961e-06	7.06684e-07	2.88503e-06
16.24	1.04789e-06	4.278e-06	6.74335e-07	2.75296e-06
16.5	9.99263e-07	4.07948e-06	6.4397e-07	2.629e-06
16.76	9.53596e-07	3.89304e-06	6.15437e-07	2.51251e-06
17.02	9.10666e-07	3.71778e-06	5.88599e-07	2.40294e-06
17.28	8.70273e-07	3.55288e-06	5.63332e-07	2.29979e-06
17.54	8.32231e-07	3.39757e-06	5.3952e-07	2.20258e-06
17.8	7.9637e-07	3.25117e-06	5.17062e-07	2.11089e-06
18.06	7.62537e-07	3.11305e-06	4.95859e-07	2.02434e-06
18.32	7.3059e-07	2.98262e-06	4.75826e-07	1.94255e-06
18.58	7.004e-07	2.85937e-06	4.56882e-07	1.86521e-06
18.84	6.71845e-07	2.7428e-06	4.38954e-07	1.79202e-06
19.1	6.44818e-07	2.63246e-06	4.21973e-07	1.7227e-06
19.36	6.19218e-07	2.52795e-06	4.05878e-07	1.65699e-06
19.62	5.9495e-07	2.42887e-06	3.9061e-07	1.59466e-06
19.88	5.71929e-07	2.33489e-06	3.76118e-07	1.53549e-06
20.14	5.50077e-07	2.24568e-06	3.62351e-07	1.47929e-06
20.4	5.29319e-07	2.16094e-06	3.49264e-07	1.42586e-06
20.66	5.09588e-07	2.08039e-06	3.36816e-07	1.37504e-06
20.92	4.90821e-07	2.00377e-06	3.24967e-07	1.32667e-06
21.18	4.7296e-07	1.93085e-06	3.13682e-07	1.2806e-06
21.44	4.5595e-07	1.86141e-06	3.02926e-07	1.23669e-06
21.7	4.39741e-07	1.79524e-06	2.9267e-07	1.19482e-06
21.96	4.24287e-07	1.73215e-06	2.82883e-07	1.15487e-06
22.22	4.09544e-07	1.67196e-06	2.7354e-07	1.11672e-06
22.48	3.95472e-07	1.61451e-06	2.64614e-07	1.08028e-06
22.74	3.82032e-07	1.55964e-06	2.56083e-07	1.04545e-06
23	3.69189e-07	1.50721e-06	2.47924e-07	1.01215e-06
23.26	3.56912e-07	1.45709e-06	2.40118e-07	9.80276e-07
23.52	3.45168e-07	1.40914e-06	2.32644e-07	9.49766e-07
23.78	3.33929e-07	1.36326e-06	2.25486e-07	9.20543e-07
24.04	3.23168e-07	1.31933e-06	2.18627e-07	8.92539e-07
24.3	3.1286e-07	1.27724e-06	2.1205e-07	8.6569e-07
24.56	3.02981e-07	1.23691e-06	2.05742e-07	8.39936e-07
24.82	2.93509e-07	1.19825e-06	1.99688e-07	8.15221e-07
25.08	2.84423e-07	1.16115e-06	1.93875e-07	7.91493e-07
25.34	2.75705e-07	1.12556e-06	1.88292e-07	7.687e-07
25.6	2.67334e-07	1.09139e-06	1.82927e-07	7.46798e-07
25.86	2.59295e-07	1.05857e-06	1.7777e-07	7.25742e-07
26.12	2.51571e-07	1.02703e-06	1.72809e-07	7.05491e-07
26.38	2.44146e-07	9.96721e-07	1.68037e-07	6.86007e-07
26.64	2.37006e-07	9.67573e-07	1.63443e-07	6.67251e-07
26.9	2.30138e-07	9.39533e-07	1.59019e-07	6.49191e-07
27.16	2.23528e-07	9.1255e-07	1.54757e-07	6.31794e-07
27.42	2.17165e-07	8.86574e-07	1.5065e-07	6.15028e-07
27.68	2.11038e-07	8.61559e-07	1.46691e-07	5.98865e-07
27.94	2.05135e-07	8.37459e-07	1.42873e-07	5.83277e-07
28.2	1.99446e-07	8.14234e-07	1.39189e-07	5.68238e-07
28.46	1.93961e-07	7.91844e-07	1.35634e-07	5.53725e-07
28.72	1.88673e-07	7.70253e-07	1.32202e-07	5.39713e-07
28.98	1.83571e-07	7.49423e-07	1.28887e-07	5.2618e-07
29.24	1.78647e-07	7.29324e-07	1.25685e-07	5.13106e-07
29.5	1.73894e-07	7.09921e-07	1.2259e-07	5.00472e-07
29.76	1.69305e-07	6.91186e-07	1.19598e-07	4.88257e-07
30.02	1.64873e-07	6.73091e-07	1.16705e-07	4.76445e-07
30.28	1.6059e-07	6.55607e-07	1.13906e-07	4.65019e-07
30.54	1.56451e-07	6.38709e-07	1.11198e-07	4.53962e-07
30.8	1.5245e-07	6.22373e-07	1.08576e-07	4.4326e-07
31.06	1.4858e-07	6.06577e-07	1.06038e-07	4.32897e-07
31.32	1.44837e-07	5.91296e-07	1.03579e-07	4.22861e-07
31.58	1.41216e-07	5.76512e-07	1.01198e-07	4.13137e-07
31.84	1.37711e-07	5.62203e-07	9.88894e-08	4.03714e-07
32.1	1.34318e-07	5.48352e-07	9.6652e-08	3.9458e-07
32.36	1.31033e-07	5.34939e-07	9.44825e-08	3.85723e-07
32.62	1.2785e-07	5.21947e-07	9.23783e-08	3.77133e-07
32.88	1.24767e-07	5.09361e-07	9.03369e-08	3.68799e-07
33.14	1.2178e-07	4.97164e-07	8.83559e-08	3.60712e-07
33.4	1.18884e-07	4.85341e-07	8.6433e-08	3.52861e-07
33.66	1.16076e-07	4.73879e-07	8.4566e-08	3.45239e-07
33.92	2.26814e-07	9.25964e-07	8.27529e-08	3.37837e-07
34.18	2.2276e-07	9.09415e-07	8.09916e-08	3.30647e-07
34.44	2.18825e-07	8.93348e-07	7.92802e-08	3.2366e-07
34.7	2.15003e-07	8.77746e-07	7.76169e-08	3.1687e-07
34.96	2.11291e-07	8.62593e-07	7.6e-08	3.10269e-07
35.22	2.07685e-07	8.47872e-07	7.44279e-08	3.03851e-07
35.48	2.04182e-07	8.33569e-07	7.28989e-08	2.97608e-07
35.74	2.00777e-07	8.19668e-07	7.14114e-08	2.91536e-07
36	1.97467e-07	8.06156e-07	6.99642e-08	2.85628e-07
36.26	1.94249e-07	7.9302e-07	6.85557e-08	2.79877e-07
36.52	1.91121e-07	7.80246e-07	6.71846e-08	2.7428e-07
36.78	1.88078e-07	7.67823e-07	6.58496e-08	2.6883e-07
37.04	1.85118e-07	7.55739e-07	6.45496e-08	2.63522e-07
37.3	1.82238e-07	7.43982e-07	6.32832e-08	2.58353e-07
37.56	1.79436e-07	7.32543e-07	6.20495e-08	2.53316e-07
37.82	1.76708e-07	7.21409e-07	6.08474e-08	2.48408e-07
38.08	1.74054e-07	7.10572e-07	5.96757e-08	2.43625e-07
38.34	1.7147e-07	7.00022e-07	5.85334e-08	2.38962e-07
38.6	1.68953e-07	6.89749e-07	5.74198e-08	2.34415e-07
38.86	1.66503e-07	6.79746e-07	5.63337e-08	2.29981e-07
39.12	1.64116e-07	6.70003e-07	5.52744e-08	2.25657e-07
39.38	1.61792e-07	6.60512e-07	5.42409e-08	2.21438e-07
39.64	1.59527e-07	6.51266e-07	5.32325e-08	2.17321e-07
39.9	1.5732e-07	6.42257e-07	5.22484e-08	2.13303e-07
40.16	1.5517e-07	6.33478e-07	5.12878e-08	2.09382e-07
40.42	1.53074e-07	6.24922e-07	5.035e-08	2.05553e-07
40.68	1.51031e-07	6.16581e-07	4.94343e-08	2.01815e-07
40.94	1.49039e-07	6.08451e-07	4.854e-08	1.98164e-07
41.2	1.47098e-07	6.00524e-07	4.76666e-08	1.94598e-07
41.46	1.45205e-07	5.92795e-07	4.68133e-08	1.91114e-07
41.72	1.43358e-07	5.85258e-07	4.59795e-08	1.87711e-07
41.98	1.41558e-07	5.77907e-07	4.51647e-08	1.84384e-07
42.24	1.39802e-07	5.70737e-07	4.43684e-08	1.81133e-07
42.5	1.38088e-07	5.63744e-07	4.35899e-08	1.77955e-07
42.76	1.36417e-07	5.56921e-07	4.28289e-08	1.74848e-07
