# mN [MeV]	eps^mu (cut2)	eps^mu (cut1 15MeV)	eps^mu (cut1 10MeV)	eps^mu (cut1 5MeV)	eps^pi (cut2)	eps^pi (cut1 15 MeV)	eps^pi (cut1 10MeV)	eps^pi (cut1 5 MeV)
10	0.275145	0.116568	0.116539	0.0947932	0.382446	0.0917963	0.0917963	0.0872942
11.1	0.246049	0.132288	0.131542	0.0989398	0.361902	0.111257	0.111257	0.0966532
12.2	0.217021	0.147452	0.144284	0.101749	0.33976	0.132108	0.132108	0.102949
13.3	0.189478	0.162636	0.155583	0.104085	0.316487	0.154188	0.153494	0.106928
14.4	0.164186	0.176789	0.164796	0.105519	0.291834	0.176953	0.17119	0.109179
15.5	0.14136	0.190077	0.173026	0.106617	0.266328	0.200825	0.185485	0.110534
16.6	0.121523	0.202235	0.180067	0.106843	0.239965	0.224887	0.196298	0.110907
17.7	0.104484	0.211836	0.185531	0.106286	0.213603	0.246537	0.204498	0.110902
18.8	0.0903508	0.218838	0.188872	0.10468	0.187721	0.26467	0.21073	0.110305
19.9	0.0778376	0.223198	0.19011	0.101375	0.163485	0.279882	0.215253	0.109028
21	0.0678932	0.225791	0.190043	0.0970937	0.140904	0.291591	0.217859	0.107229
22.1	0.0591725	0.226217	0.188412	0.0920653	0.119968	0.299988	0.218743	0.104675
23.2	0.051777	0.22587	0.186104	0.0859454	0.100956	0.305536	0.217829	0.101453
24.3	0.0456718	0.224295	0.182857	0.0792915	0.084056	0.307889	0.215424	0.0977157
25.4	0.0403561	0.221601	0.178477	0.0720253	0.0691336	0.30773	0.211435	0.0933535
26.5	0.0358384	0.218668	0.174006	0.0649079	0.0565727	0.305335	0.206705	0.0888206
27.6	0.0320314	0.214905	0.168846	0.0575885	0.0459571	0.301129	0.200783	0.0838614
28.7	0.0286267	0.2113	0.163465	0.0507953	0.037155	0.295999	0.194677	0.0788603
29.8	0.0257438	0.207107	0.157343	0.0444015	0.0297265	0.289436	0.187803	0.0735716
30.9	0.0232414	0.203103	0.151052	0.0384774	0.0236656	0.281649	0.18037	0.0681201
32	0.0209661	0.19869	0.144019	0.0332867	0.0185875	0.273314	0.172919	0.0627298
33.1	0.0191002	0.194331	0.136768	0.0288856	0.0144421	0.2646	0.165171	0.0571308
34.2	0.0174369	0.189563	0.128895	0.025004	0.0110875	0.255077	0.156979	0.0517009
35.3	0.015866	0.18509	0.120712	0.021778	0.0083774	0.24558	0.149264	0.0463302
36.4	0.0145653	0.18052	0.112609	0.0190094	0.0061679	0.235701	0.141107	0.0406732
37.5	0.0133797	0.175597	0.104145	0.0167002	0.0044032	0.225933	0.13323	0.0354135
38.6	0.0123248	0.17067	0.0958041	0.0146626	0.0030493	0.215819	0.125246	0.0302684
39.7	0.0113603	0.165532	0.0877909	0.0129888	0.0020539	0.205757	0.117251	0.0255417
40.8	0.010532	0.160114	0.0799408	0.0114883	0.0012921	0.195819	0.109474	0.0213902
41.9	0.0097419	0.154117	0.0725239	0.0101972	0.0007295	0.186016	0.101684	0.0177051
43	0.009071	0.147592	0.0654418	0.0091229	0.0003707	0.176255	0.0942713	0.0146034
44.1	0.0085101	0.140951	0.0590841	0.0081448	0.0001529	0.166565	0.0867263	0.0119935
45.2	0.0078404	0.133858	0.053351	0.0072948	4.06e-05	0.156959	0.0794212	0.0096177
46.3	0.007413	0.126598	0.048245	0.0065754	2.3e-06	0.147601	0.0721944	0.007724
47.4	0.0069112	0.119175	0.0435343	0.0059518	0	0.13849	0.0650666	0.005976
48.5	0.0065024	0.112069	0.0396115	0.0053623	0	0.129498	0.0582696	0.0046773
49.6	0.0061219	0.104301	0.0358722	0.0048441	0	0.121105	0.0518106	0.003548
50.7	0.0057388	0.0969732	0.03273	0.0044714	0	0.112872	0.0454112	0.0026344
51.8	0.0054404	0.0895953	0.0296859	0.0040068	0	0.105324	0.0395241	0.0019297
52.9	0.0051352	0.0828088	0.0272181	0.0036586	0	0.097619	0.0335134	0.0013594
54	0.0048644	0.0762797	0.0249656	0.0033885	0	0.0903268	0.0280173	0.0009393
55.1	0.0045684	0.0702727	0.0229637	0.00307	0	0.0835106	0.0232953	0.0006162
56.2	0.0043339	0.0648919	0.0210753	0.0028377	0	0.0767557	0.0189899	0.0003876
57.3	0.0040939	0.0599247	0.0194331	0.0026263	0	0.0704292	0.0154625	0.0002256
58.4	0.0039107	0.0554798	0.0179497	0.00243	0	0.064241	0.0124783	0.0001166
59.5	0.0037005	0.051426	0.016644	0.0022334	0	0.0582045	0.0098726	5.18e-05
60.6	0.003544	0.0475183	0.0153637	0.0020525	0	0.0522296	0.0077896	1.94e-05
61.7	0.0033664	0.0442255	0.0142649	0.0019025	0	0.0467453	0.0061092	3.3e-06
62.8	0.0031915	0.0410748	0.0133249	0.0018036	0	0.0411939	0.0046574	2e-07
63.9	0.0030593	0.0382396	0.0123396	0.0016569	0	0.0358098	0.0035789	0
65	0.0029281	0.0356356	0.0114642	0.0015312	0	0.0307125	0.0026847	0
66.1	0.0027778	0.0332938	0.0107521	0.0014426	0	0.0258957	0.0019551	0
67.2	0.0026668	0.0311287	0.0100293	0.0013751	0	0.0216897	0.0014079	0
68.3	0.0025578	0.0292092	0.0094021	0.0012675	0	0.0180072	0.0009703	0
69.4	0.0023918	0.027345	0.0087864	0.0011791	0	0.0148689	0.000661	0
70.5	0.0023153	0.0257518	0.0082641	0.0011115	0	0.0122082	0.0004108	0
71.6	0.0022066	0.0241147	0.0077428	0.0010429	0	0.0100242	0.0002589	0
72.7	0.0020974	0.0227727	0.0073164	0.0009842	0	0.0081617	0.0001463	0
73.8	0.0019997	0.0213626	0.0068423	0.0009315	0	0.0065865	7.46e-05	0
74.9	0.0019432	0.0200766	0.0064149	0.0008482	0	0.0052782	3.36e-05	0
76	0.0018256	0.0189643	0.0060559	0.0008113	0	0.0042036	1.05e-05	0
77.1	0.0017569	0.0178916	0.0057171	0.0007606	0	0.0033116	1.3e-06	0
78.2	0.0016745	0.0169819	0.005415	0.0007357	0	0.002612	1e-07	0
79.3	0.001594	0.016064	0.0051155	0.0006904	0	0.0020169	0	0
80.4	0.0015332	0.0151006	0.004844	0.0006408	0	0.0015239	0	0
81.5	0.0014255	0.0144021	0.004598	0.0006109	0	0.0011577	0	0
82.6	0.0013533	0.0136214	0.0043295	0.0005809	0	0.0008551	0	0
83.7	0.0012773	0.0128431	0.0041055	0.0005506	0	0.0006285	0	0
84.8	0.0011944	0.0121818	0.0038588	0.0005101	0	0.0004488	0	0
85.9	0.0011188	0.0116003	0.0036569	0.000478	0	0.000308	0	0
87	0.0010493	0.0110364	0.0035024	0.0004486	0	0.0002141	0	0
88.1	0.0009461	0.0104867	0.003292	0.0004253	0	0.0001413	0	0
89.2	0.000869	0.0099817	0.003167	0.0004256	0	9.06e-05	0	0
90.3	0.0007716	0.0094698	0.0029939	0.0003845	0	5.35e-05	0	0
91.4	0.000694	0.008996	0.0028066	0.0003651	0	2.73e-05	0	0
92.5	0.0005826	0.0085195	0.0026783	0.0003396	0	1.39e-05	0	0
93.6	0.000485	0.0080645	0.002508	0.0003106	0	5.2e-06	0	0
94.7	0.0003785	0.0076812	0.0024052	0.0002989	0	1.3e-06	0	0
95.8	0.0002636	0.0072684	0.0022336	0.0002722	0	6e-07	0	0
96.9	0.0001506	0.0069199	0.002123	0.0002489	0	0	0	0
98	6.24e-05	0.0064851	0.0019633	0.0002236	0	0	0	0
99.1	9.3e-06	0.006099	0.0017911	0.000188	0	0	0	0
100.2	0	0.0056621	0.0016663	0.000175	0	0	0	0
101.3	0	0.0053651	0.0015458	0.0001423	0	0	0	0
102.4	0	0.0049413	0.0014115	0.0001137	0	0	0	0
103.5	0	0.004625	0.0012819	9.39e-05	0	0	0	0
104.6	0	0.0043143	0.0011641	7.68e-05	0	0	0	0
105.7	0	0	0	0	0	0	0	0
106.8	0	0	0	0	0	0	0	0
107.9	0	0	0	0	0	0	0	0
109	0	0	0	0	0	0	0	0
110.1	0	0	0	0	0	0	0	0
111.2	0	0	0	0	0	0	0	0
112.3	0	0	0	0	0	0	0	0
113.4	0	0	0	0	0	0	0	0
114.5	0	0	0	0	0	0	0	0
115.6	0	0	0	0	0	0	0	0
116.7	0	0	0	0	0	0	0	0
117.8	0	0	0	0	0	0	0	0
118.9	0	0	0	0	0	0	0	0
120	0	0	0	0	0	0	0	0
