# mN [MeV]	eps^mu (cut2)	eps^mu (cut1 15MeV)	eps^mu (cut1 10MeV)	eps^mu (cut1 5MeV)	eps^pi (cut2)	eps^pi (cut1 15 MeV)	eps^pi (cut1 10MeV)	eps^pi (cut1 5 MeV)
10	0.36559	0.141808	0.141782	0.115739	0.325624	0.174685	0.174549	0.139026
11.1	0.332039	0.162362	0.16158	0.12082	0.274047	0.18922	0.1883	0.141426
12.2	0.297302	0.18312	0.179288	0.124633	0.224414	0.200211	0.198265	0.142134
13.3	0.263519	0.202859	0.193352	0.126858	0.180774	0.207993	0.205127	0.141315
14.4	0.231296	0.222273	0.205351	0.128274	0.144517	0.213339	0.209698	0.139481
15.5	0.201675	0.239974	0.215151	0.129052	0.114564	0.216957	0.212771	0.136962
16.6	0.174933	0.255661	0.223401	0.129022	0.09103	0.218	0.213406	0.133288
17.7	0.151912	0.268025	0.229214	0.127739	0.0723853	0.214742	0.210244	0.127707
18.8	0.131883	0.277016	0.232403	0.125381	0.0577669	0.207656	0.203606	0.120219
19.9	0.114646	0.282251	0.233189	0.121346	0.0463144	0.197529	0.194101	0.111059
21	0.0996786	0.285362	0.232381	0.116371	0.0371486	0.18604	0.18331	0.101038
22.1	0.0869872	0.285872	0.229764	0.110285	0.0299242	0.172641	0.170543	0.0893722
23.2	0.0761274	0.284285	0.22565	0.103377	0.0239474	0.158505	0.156903	0.0767781
24.3	0.0667944	0.28158	0.220737	0.0959191	0.0193832	0.143828	0.142643	0.0642524
25.4	0.0588621	0.277736	0.215263	0.0878964	0.0156229	0.128703	0.127758	0.0526098
26.5	0.0520139	0.273051	0.208726	0.079735	0.0124885	0.113633	0.112839	0.0425562
27.6	0.046051	0.267497	0.201644	0.0715335	0.0099285	0.0985867	0.0977525	0.0338715
28.7	0.0410569	0.261761	0.194499	0.0635302	0.0078897	0.0833186	0.0821816	0.0266219
29.8	0.0366201	0.255291	0.18654	0.0559289	0.0061015	0.0678826	0.0658657	0.0205003
30.9	0.0328121	0.248831	0.17836	0.0488339	0.004622	0.0520613	0.0482521	0.015276
32	0.0294942	0.242053	0.169868	0.0424512	0.0033923	0.0351942	0.0303148	0.0101292
33.1	0.0266022	0.235196	0.160961	0.0366222	0.0022296	0.0164618	0.0128418	0.004515
34.2	0.0239981	0.228485	0.151914	0.031709	0	0	0	0
35.3	0.0216839	0.221491	0.142531	0.0275256	0	0	0	0
36.4	0.0197801	0.214779	0.133315	0.023911	0	0	0	0
37.5	0.0179442	0.207746	0.123861	0.0208255	0	0	0	0
38.6	0.0164232	0.201029	0.114504	0.0182369	0	0	0	0
39.7	0.0150053	0.19383	0.105135	0.0159963	0	0	0	0
40.8	0.0138234	0.186263	0.0960306	0.014072	0	0	0	0
41.9	0.0126733	0.178886	0.0874903	0.012468	0	0	0	0
43	0.0116322	0.171209	0.0792671	0.0110172	0	0	0	0
44.1	0.0106762	0.163403	0.0716693	0.009844	0	0	0	0
45.2	0.0098738	0.155056	0.0643867	0.00878	0	0	0	0
46.3	0.0091595	0.146911	0.0579762	0.0078348	0	0	0	0
47.4	0.0084934	0.138653	0.0522879	0.0070647	0	0	0	0
48.5	0.0078299	0.130157	0.0470653	0.006307	0	0	0	0
49.6	0.0072878	0.121777	0.042565	0.0057116	0	0	0	0
50.7	0.0067802	0.11331	0.0386237	0.0052054	0	0	0	0
51.8	0.0063294	0.105143	0.0350167	0.0046923	0	0	0	0
52.9	0.005906	0.097222	0.0318477	0.0042534	0	0	0	0
54	0.0055027	0.0893765	0.0290421	0.003904	0	0	0	0
55.1	0.0051371	0.0821771	0.0265198	0.0035333	0	0	0	0
56.2	0.0048043	0.0753999	0.0242784	0.0032267	0	0	0	0
57.3	0.0044966	0.0693016	0.0221961	0.0029532	0	0	0	0
58.4	0.0042329	0.0637969	0.0204254	0.0027267	0	0	0	0
59.5	0.0039744	0.0586997	0.0187821	0.002496	0	0	0	0
60.6	0.0037215	0.0542128	0.0173961	0.0023181	0	0	0	0
61.7	0.0034836	0.0500376	0.0159778	0.0021118	0	0	0	0
62.8	0.0032571	0.0462874	0.0147672	0.0019725	0	0	0	0
63.9	0.0030972	0.0430551	0.0137366	0.0018034	0	0	0	0
65	0.0028887	0.0398534	0.0127543	0.0016804	0	0	0	0
66.1	0.0027411	0.0370087	0.0118516	0.0015792	0	0	0	0
67.2	0.0025626	0.0344967	0.0109679	0.0014422	0	0	0	0
68.3	0.0024046	0.0321173	0.0102195	0.0013353	0	0	0	0
69.4	0.0022952	0.0299637	0.0095269	0.0012507	0	0	0	0
70.5	0.0021793	0.0280349	0.0088678	0.0011553	0	0	0	0
71.6	0.0020355	0.026176	0.0083398	0.0010979	0	0	0	0
72.7	0.0018953	0.0244996	0.0078138	0.0010268	0	0	0	0
73.8	0.0017678	0.0229167	0.0072112	0.000924	0	0	0	0
74.9	0.0016887	0.0214821	0.0067745	0.0008765	0	0	0	0
76	0.0015996	0.020253	0.006389	0.0008437	0	0	0	0
77.1	0.001486	0.019014	0.0060072	0.0007802	0	0	0	0
78.2	0.0014055	0.0179683	0.005648	0.0007198	0	0	0	0
79.3	0.0013016	0.0168763	0.0052967	0.0006889	0	0	0	0
80.4	0.0012264	0.0158617	0.0050124	0.0006378	0	0	0	0
81.5	0.0011409	0.0150364	0.0047126	0.0006059	0	0	0	0
82.6	0.0010583	0.0140726	0.0043966	0.0005707	0	0	0	0
83.7	0.001013	0.0132629	0.0041391	0.0005044	0	0	0	0
84.8	0.0009181	0.0125972	0.0039335	0.0004979	0	0	0	0
85.9	0.0008246	0.011926	0.0037087	0.0004505	0	0	0	0
87	0.0007724	0.0112211	0.0035103	0.0004315	0	0	0	0
88.1	0.0007095	0.0105969	0.0032839	0.0004027	0	0	0	0
